id,comment,label,task,,,
id1,Chất lượng sản phẩm rất kém Thời gian giao hàng rất chậm Dịch vụ nhìn chung rất kém,0,9,,,83
id2,Đặt hàng mẫu này gửi mẫu kia nhắn tin thì không trả lời,0,6,,,
id3,sản phẩm giống hình nhưng áo rộng dài còn quần ngắn không ưng ý lắm,0,1,,,
id4,Shop tư vấn rất tốt,2,5,,,
id5,Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn giao hàng rất nhanh,2,1,,,
id6,Mình không nghĩ hàng chỉ còn hơn 1 tháng hạn sử dụng mà TIKI vẫn giao đến khách hàng - đặc biệt hàng dành cho trẻ em,0,3,,,
id7,Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,2,1,,,
id8,"Shop phục vụ rất kém, không có đạo đức nghề nghiệp",0,5,,,
id9,"iPhone 5 thường có 4 chân, còn iPhone 5s chỉ có 3 chân thôi, hơi chua",0,1,,,
id10,Sản phẩm bị sử dụng rồi mà vẫn giao,0,3,,,
id11,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2,,,
id12,Chất lượng sản phẩm tuyệt vời,2,1,,,
id13,Đặt size to quá nên nhờ shop gửi lại thì được trợ giúp,2,5,,,
id14,Nhận được hàng rất hài lòng,2,3,,,
id15,Giao hàng nhanh như chớp,2,3,,,
id16,Sử dụng được đúng 2 ngày thì cổng Wan chết,0,1,,,
id17,Cảm ơn shop,2,5,,,
id18,Gọi số bảo hành thì số không gọi được,0,5,,,
id19,Đóng gói sản phẩm rất đẹp và chắc chắn tốt,2,2,,,
id20,Rất không đáng tiền,0,4,,,
id21,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, thời gian giao hàng rất nhanh, shop phục vụ rất tốt",2,9,,,
id22,Mình mua bình này cách đây hơn 1 năm thấy sản phẩm đang giảm 45% nên vào góp ý cho các bạn định mua,2,8,,,
id23,"Bình sử dụng được một thời gian thì bên trong có vật gì đó giống cục sỏi, mặc dù rửa rất sạch nhưng khi lắc vẫn nghe tiếng kêu bên trong",0,1,,,
id24,"Bình này quá tệ, rất hôi, dễ bị móp, đặc biệt phần nắp móp độ hở lớn",0,1,,,
id25,Rất ức chế vì chẳng biết cái bình nó chứa cái gì trong đó mà không biết nó độc hại hay không,0,1,,,
id26,Công nhận hàng Trung Quốc mà giá rẻ có khác,2,4,,,
id27,Sản phẩm siêu cùi giảm 80% mình cũng không thèm mua lại,0,4,,,
id28,Mình mua hàng nhiều lần ở Tiki từ sách cho tới sản phẩm kỹ thuật số và đây là lần đầu tiên mình muốn gửi đánh giá của mình cho sản phẩm này,2,9,,,
id29,"Đóng gói sản phẩm tốt, giao hàng nhanh, chất lượng thì chưa dùng lâu mà lịch thì thấy không chạy rồi",0,1,,,
id30,"Sau khi nhận được sách và thao lược vài chục trang thì mình thấy sách dịch rất tệ, đọc không suôn và ý tứ lủng củng, đôi chỗ phải suy nghĩ để hiểu.",0,1,,,
id31,Không rõ cái này do dịch kém hay do ông tác giả viết loạn xà ngầu,0,9,,,
id32,Bây giờ mình đã vứt em nó một xó và không sử dụng được nửa năm rồi,0,1,,,
id33,Mà éo le cái là cụm từ này đi liền với trẻ em,0,9,,,
id34,Tính tờ rùng hay tính tờ hần,1,1,,,
id35,Đọc rất buồn cười,2,9,,,
id36,Mình chưa đọc xong nhưng bấy nhiêu thôi cũng làm mình thấy mấy ông làm sách chẳng có tâm tí nào,0,1,,,
id37,Hay mình đang đọc bản lậu?,0,9,,,
id38,Có phải hàng giỡn không,0,1,,,
id39,Hàng chuẩn khỏi bàn,2,1,,,
id40,"Dùng được 2 ngày bị hỏng, sửa mất gần trăm nghìn",0,1,,,
id41,Giao hàng nhanh nữa,2,3,,,
id42,Đóng gói rất xấu,0,2,,,
id43,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, giao hàng siêu nhanh, chỉ có một điểm trừ duy nhất là đậu phộng không được cay cho lắm",2,1,,,
id44,Đóng gói sản phẩm rất kém,0,2,,,
id45,Ủng hộ nhiều đơn,2,9,,,
id46,Giao bịch thứ 2 rách,0,3,,,
id47,Sao hàng mua trên Tiki lại khác với hàng mình đang dùng mua trong siêu thị,0,9,,,
id48,Câu sửa: Không một câu xin lỗi,0,5,,,
id49,Thái độ quá kém,0,5,,,
id50,Kêu bồ thường rồi chán không,0,9,,,
id51,Lo mua ủng hộ rồi nên chờ 1 chút,1,6,,,
id52,Quá xứng đáng,2,9,,,
id53,Giao nhầm hàng,0,3,,,
id54,Mặc dù đã viết note lại dặn rất cẩn thận mà shop cũng không hồi âm tư vấn cho khách,0,5,,,
id55,"Chất liệu tệ, vải có vẻ không được tốt cho lắm",0,1,,,
id56,Nói chung là không ưng ý,0,9,,,
id57,Dáng cũng không đẹp,0,1,,,
id58,"Thời gian giao hàng rất nhanh, shop phục vụ rất tốt",2,3,,,
id59,Giao hàng không đúng màu,0,3,,,
id60,Mặc dù đã chú thích,0,9,,,
id61,Cài đặt và sử dụng rất dễ dàng,2,9,,,
id62,Sản phẩm siêu xinh luôn shop ơi,2,1,,,
id63,"Dây bị lỗi bong tróc, chất lượng sản phẩm kém",0,1,,,
id64,Đóng gói sản phẩm cẩn thận,2,2,,,
id65,Thất vọng mua đồng hồ Nhật mà nhận đồng hồ China,0,1,,,
id66,"Cho tất cả các loại giày dép đều vừa khít hoặc hơi chật nhưng hai đôi này cùng size 35 nhưng hơi rộng khoảng 1 size, nhưng không sao, có thể vì form giày này nó rộng với lại chất liệu vải nó mỏng và mịn nên hơi rộng, thích nó",2,1,,,
id67,Cái này giống hàng trưng bày hay sao vậy,0,1,,,
id68,Hàng mới nhận mở ra xem thì trầy xước hết rồi shop ơi,0,1,,,
id69,Vali mới mà trầy hết trơn à.,0,1,,,
id70,Ăn cảm giác như mực để lâu khô cứng và dai,0,1,,,
id71,Đóng gói sản phẩm rất kém chỉ bọc giấy chuẩn bị hàng quá lâu,0,2,,,
id72,Rất đáng tiền mua,2,4,,,
id73,Cửa hàng tốt nhất rồi,2,9,,,
id74,"Chất lượng sản phẩm tuyệt vời, giao hàng 4h, gói hàng cực kỳ chắc chắn, chống sốc mấy lớp liền, hàng digiworld phân phối, giao đúng loại, trả lời tin nhắn cũng nhanh nữa.",2,1,,,
id75,Màu đẹp mà giá lại ok nữa rất thích,2,4,,,
id76,Nói là sản phẩm 20.000mAh mà sạc được có 5% pin là dừng rồi,0,1,,,
id77,"Chất lượng giấy tốt, in màu đẹp, phần trình bày rõ ràng, giải thích dễ hiểu, có cả phần bài tập ứng dụng. Tuy nhiên, phần chữ tiếng Việt rất nhiều và mật độ chữ dày đặc, dễ bị hoa mắt",1,1,,,
id78,Son màu đẹp,2,1,,,
id79,Chất lượng bình thường vải không đẹp lắm,0,1,,,
id80,Nho hạt to như hình in trên hộp ăn rất ngon,2,1,,,
id81,Đóng gói chắc chắn,2,2,,,
id82,Sản phẩm đẹp,2,1,,,
id83,Nhưng không có pin dự phòng,0,9,,,
id84,Mua 3 mà giao 2,0,3,,,
id85,Giày đẹp như hình,2,1,,,
id86,Cảm ơn,2,9,,,
id87,Son đẹp check code ok,2,9,,,
id88,"Đặt hàng màu bạc mà lúc nhận được lại là màu vàng, chát hỏi lại shop thì lại không thấy phản hồi gì cả, gọi điện cũng không nghe.",0,6,,,
id89,Rất thất vọng về sản phẩm cũng như thái độ phục vụ của shop,0,5,,,
id90,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,2,1,,,
id91,"Giá 1,29 triệu đồng là quá đắt, vì chỉ dùng được một thời gian ngắn, tiền nào của đó",0,4,,,
id92,Sản phẩm không giống hình shop đăng,0,1,,,
id93,"Bên shop thông báo cho mình hết phấn gấu, sau đó chuyển sang phấn vịt, rồi lại thông báo hết phấn vịt và chuyển sang phấn của 3CE",0,9,,,
id94,"Chất lượng phấn không tốt lắm, nói kiềm dầu nhưng hầu như chỉ kiềm dầu được khoảng 30 phút là thấy da mặt đầy dầu.",0,1,,,
id95,"Lỗ của hộp phấn bên trong quá bé nên lượng phấn lấy ra không nhiều, rất mất thời gian",0,1,,,
id96,"Chất lượng sản phẩm rất rất rất kém, rất không đáng tiền",0,1,,,
id97,"Khăn aden mà giặt rồi mà vẫn cứng đơ, rát, xì xì, nhăn nhúm, gập 40 cái mất nửa tiếng",0,1,,,
id98,Lau cho con thì đỏ cả da,0,9,,,
id99,Mua 40 cái mà bỏ không dùng được cái nào,0,1,,,
id100,Mua 20 miếng mặt nạ nhiều loại khác nhau nhưng không bị gói nhầm hàng như những cửa hàng khác,2,2,,,
id101,Lần sau không bao giờ dám mua đồ của shop,0,1,,,
id102,Làm việc có tâm ạ,2,9,,,
id103,Đã mua nhiều lần và lần nào cũng ưng ý,2,1,,,
id104,"Chủ shop nhiệt tình, thân thiện",2,5,,,
id105,Ốp đẹp lắm ạ cơ mà bị nhầm của em 1 hình,0,7,,,
id106,Sẽ ủng hộ shop tiếp!,2,9,,,
id107,Dầu đậm đặc ghê shop ạ. Lúc trước em có mua của shop khác màu nhạt lắm luôn,2,1,,,
id108,"Mặt tiếp xúc với tóc không chống dính tốt, không trơn",0,1,,,
id109,Máy nóng kém,0,1,,,
id110,"Thời gian giao hàng rất chậm, shop phục vụ rất kém, đóng gói sản phẩm rất kém, chất lượng sản phẩm rất kém",0,1,,,
id111,"Giày đẹp lắm, shop vui vẻ tư vấn nhiệt tình. Rất đáng tiền. Thời gian giao hàng rất nhanh. Shop phục vụ rất tốt, sẽ ủng hộ shop vì giá đẹp, giày đẹp.",2,1,,,
id112,"Giao hàng nhanh, đặt hàng sau hai hôm là tới nơi rất ưng cách phục vụ nhanh chóng của shop",2,3,,,
id113,Khá là ưng 😊,2,1,,,
id114,"Chất lượng sản phẩm tuyệt vời, dây xanh đậm so với hình ảnh chụp",2,1,,,
id115,Đẹp lắm shop ❤️,2,1,,,
id116,Shop phục vụ rất tốt rất đáng tiền rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn,2,2,,,
id117,"Máy chạy rất tệ, không hoạt động và yếu, sử dụng không tốt",0,1,,,
id118,Rất đáng tiền,2,4,,,
id119,"Shop giao hàng nhanh, đóng gói đẹp, hàng thì cực kỳ dễ thương luôn",2,3,,,
id120,"Sản phẩm tốt, nhưng hàng vận chuyển hộp bị móp",0,3,,,
id121,"Đây là lần thứ hai mua hàng, thật sự rất hài lòng! Sẽ ủng hộ shop dài dài",2,1,,,
id122,Sẽ tiếp tục ủng hộ shop dài dài,2,9,,,
id123,Shop bán hàng không có tâm,0,1,,,
id124,Lưỡi dao gỉ vẫn giao cho khách,0,3,,,
id125,Bỉm chật bé nhà mình 7kg đã thấy chật rồi ạ không dùng được cho bé 12kg nhé,0,1,,,
id126,"Sản phẩm không còn mới, đã bị gỡ miếng giấy dính với tấm nhựa",0,1,,,
id127,"Ngon, về Việt Nam quất luôn 1 em 13,3 inch",2,9,,,
id128,"Tôi mua hồi tháng 6 vừa rồi, đang sạc iPhone được 30% thì không sạc được nữa",0,1,,,
id129,Mình cần hỗ trợ về bảo hành,1,5,,,
id130,Nhầm sản phẩm,0,7,,,
id131,"Son thì lỗi đầu son như dùng rồi, chất son loãng như nước, không đặc.",0,1,,,
id132,"Chất lượng sản phẩm rất kém, vỏ son bị méo",0,1,,,
id133,"Để 30 phút trên môi không khô, quệt một phát là bay màu",0,1,,,
id134,"Sản phẩm quá kém chất lượng như nước, sử dụng mà thấy da tay vẫn khô không có dưỡng ẩm",0,1,,,
id135,không giống hàng gì hết,0,1,,,
id136,"Sản phẩm đáng yêu, shop còn tặng quà khi mua số lượng nhiều nữa",2,8,,,
id137,mỏng - không biết điều kiện còn đi xa nó có bục không,0,1,,,
id138,Không ổn lắm,0,1,,,
id139,"Thời gian giao hàng rất nhanh, gói quà hơi sơ xài nhưng sản phẩm thì ổn",1,3,,,
id140,Tặng đồ xài không được,0,9,,,
id141,Hàng quá kém,0,1,,,
id142,Shop Mall mà làm ăn tào lao ghi lốc 6 chai mà khi giao hàng thì giao 6 chai rời,0,3,,,
id143,Nhận sản phẩm không đúng với mô tả,0,7,,,
id144,"Chất lượng sản phẩm tuyệt vời, bánh rất ngon mà cái hộp đóng gói nhận nhìn không cảm tình xíu nào luôn",0,2,,,
id145,So với giá tiền thì chất lượng như vậy là ổn,2,1,,,
id146,"Tuy nhiên chắc tại shop bán mấy cái phụ kiện điện thoại bé nên hay nhầm lẫn quên hay sao ấy, thiếu mất của em một cái que chọc sim rồi",0,9,,,
id147,Máy dùng thích lắm,2,1,,,
id148,Shop phục vụ rất tốt,2,5,,,
id149,Đáng tiền,2,4,,,
id150,Cảm ơn và ủng hộ shop,2,9,,,
id151,Giày ok lắm các bạn,2,1,,,
id152,Thời gian giao hàng rất nhanh sáng đặt trưa giao,2,3,,,
id153,Nhìn chung thì tạm được thôi mình mua 4 cái nhưng trong đó có 1 cái không lên đèn nhờ shop nghiên cứu lại,0,1,,,
id154,Hàng chất lượng shop rất uy tín,2,1,,,
id155,Túi nhỏ không vừa kích cỡ thảm,0,1,,,
id156,Mặc dù đã cuộn chặt nhưng cài dây kéo rất khó kéo vào căng đến nỗi rạn chỉ may túi luôn,0,1,,,
id157,Rất không đáng tiền kích bảo hành từ tháng 12/2017,0,9,,,
id158,Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt,2,1,,,
id159,Nói thẳng ra là nhảm nhí tệ nhất trong những cuốn của DLVT mà mình đã đọc,0,9,,,
id160,"Mình không thích cuốn này lắm, nó cứ nhàm chán kiểu gì ấy, cứ như rất gượng ép. Nam chính như kiểu hời hợt, tình yêu này cứ loằng ngoằng luẩn quẩn, dễ đến dễ hiểu làm vô cớ dễ giận nhau. Các tình tiết không chặt chẽ, không thuyết phục, cách viết rất non tay.",0,9,,,
id161,Nhưng giá cũng hơi chát,0,4,,,
id162,Không giữ đá lâu như sản phẩm của Zebra. Thất vọng về lock,0,1,,,
id163,Sản phẩm rất tốt giá cả hợp lý. Sạc đầy điện thoại 3300mAh được 8 lần. Thực sự rất hài lòng.,2,1,,,
id164,Shop tư vấn và giải đáp rất nhiệt tình,2,5,,,
id165,Cho 10 sao luôn 😊,2,9,,,
id166,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,2,1,,,
id167,"Ấm thì bị hư không vào điện, gửi đổi thì bực mình chịu phí, khăn thì chắc liệu loại 2 giao hàng chậm",0,3,,,
id168,Giày rất đẹp nhìn rất xịn,2,1,,,
id169,Cushion xài cực mê. → Cushion sử dụng rất thích,2,1,,,
id170,Shop gói hàng cẩn thận,2,2,,,
id171,Dùng hết sẽ ủng hộ tiếp,2,9,,,
id172,Shop giao hàng cực nhanh luôn gói hàng cẩn thận nữa !!,2,3,,,
id173,Sản phẩm rất đẹp với giá tiền nha mọi người,2,4,,,
id174,Chất lượng giày thì đẹp mà dây giày hơi dài thôi ạ. Lần sau sẽ mua ủng hộ shop tiếp,2,1,,,
id175,Chất lượng chờ thời gian,0,1,,,
id176,Giao hàng cực nhanh!!!,2,3,,,
id177,"chuẩn như hình, ước gì có thêm hộp Vans thì tốt",2,9,,,
id178,"Trên hình toàn là chuột, song vậy mà lúc giao lại không phải.",0,3,,,
id179,"Máy bị lỏng quá, mua hai cái chán quá",0,1,,,
id180,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Giao hàng nhanh nhiệt tình,2,1,,,
id181,Sản phẩm rất ổn,2,1,,,
id182,Nằm thấy dễ chịu,2,1,,,
id183,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn",2,2,,,
id184,Ngon nhé shop!,2,1,,,
id185,Hộp đựng đồng hồ không giống như clip,0,2,,,
id186,Tại sao nó lại ra tên của shop ???,0,9,,,
id187,Chất lượng giấy quá kém,0,1,,,
id188,Bìa thì bị chảy mực quá kém,0,1,,,
id189,Đẹp mà rẻ,2,4,,,
id190,"Tôi đặt hai size 4 mà giao 1 size 4 một size 3 giờ cái không mặc được, chả hiểu có phải shop cứ đẩy hàng đi cho hết hay không nữa dù sản phẩm cũng tạm được, shop phục vụ kém",0,3,,,
id191,Thích dễ sợ ^^,2,9,,,
id192,Giao hàng không đúng mẫu,0,3,,,
id193,Bìa sách khá đẹp và sách mỏng rất gọn,2,2,,,
id194,Shop gửi hàng nhanh dép đẹp,2,3,,,
id195,Rất hài lòng,2,1,,,
id196,Dịch giả không có tâm hoặc quá kém dịch như Google Dịch,0,9,,,
id197,Đẹp hơn mong đợi,2,1,,,
id198,Giá tốt sản phẩm chính hãng,2,4,,,
id199,"Có 6 sao thì cũng đánh giá luôn, rất đáng tiền",2,1,,,
id200,Tôi sao chép hoặc di chuyển dữ liệu USB không nhanh như tốc độ quảng cáo,0,9,,,
id201,Ngoài ra còn được tặng thêm cột tóc siêu xinh nữa,2,8,,,
id202,"Gói hàng cực kỳ kỹ càng, ngoài bọc xốp ra, chủ shop còn bỏ thêm bọc nilon rồi mới bỏ vào hộp các tông",2,2,,,
id203,Son đẹp còn nguyên niêm phong và không hề bị trầy,2,2,,,
id204,Cực kì hài lòng,2,1,,,
id205,Chúc chủ shop mua may bán đắt,2,9,,,
id206,Đóng gói cẩn thận,2,2,,,
id207,"Shop phục vụ kém, nhân viên giao hàng không cho kiểm tra máy",0,5,,,
id208,Nhận định ban đầu khá tốt sẽ trải nghiệm thêm,2,9,,,
id209,"Chất lượng sản phẩm rất kém kim giây liên tục bị kẹt, luôn trễ giờ rất không đáng tiền",0,1,,,
id210,Son Max đẹp đúng màu mình thích,2,1,,,
id211,Shop đăng bán mẫu mới nhưng lại gửi mẫu cũ,0,1,,,
id212,Cảm ơn shop 😊,2,5,,,
id213,Áo mặc đẹp nhưng hơi ngắn xíu,1,1,,,
id214,"Chất đẹp, giá hợp lý, ship nhanh chóng",2,3,,,
id215,Trông hàng mã quá tóm lại không nên dùng,0,1,,,
id216,Truyện hay,2,9,,,
id217,Chi phí giao hàng cao quá,0,3,,,
id218,Mặt hơi to,0,9,,,
id219,Nhìn đẹp lắm,2,1,,,
id220,Giao hàng thiếu và không rep inbox shop quá kém,0,3,,,
id221,"Giây may sáu quá lỗi, máy đường chỉ tệ quá",0,1,,,
id222,"Mua hàng thì giao giày hư, trả hàng thì không thiện chí nhận lại, đăng lên Shopee thì không mua lại kêu tốn phí ship, vậy tôi mua bán lại mà giao giày như vậy bán cho ai.",0,7,,,
id223,Hài lòng ba đôi giày,2,1,,,
id224,"Đóng gói sản phẩm rất kém, shop phục vụ rất kém",0,5,,,
id225,Ốp bị xước nhiều hơi cũ,0,1,,,
id226,"Sản phẩm đẹp, rất đáng tiền",2,1,,,
id227,"Cùng hãng LinkCard mà bộ kia mình mua mềm hơn, nhưng bộ này có vải cứng và nóng",0,1,,,
id228,"Muốn đổi trả thì shop vòng vo một ngày không đưa ra giải pháp, nói đấy là do khách cảm nhận cá nhân.",0,7,,,
id229,Chất lượng sản phẩm rất kém,0,1,,,
id230,Không trả được thì nói thẳng chứ bạn :) Cách giải quyết khiếu nại làm mình hơi bị buồn và khó chịu :) Chất lượng sản phẩm kém,0,1,,,
id231,Các bạn nên chọn loại khác nhé,0,1,,,
id232,Kính không có keo toàn bộ mà chỉ có keo ở viền màu đen khiến màn hình trở nên lem nhem,0,1,,,
id233,"Khi sạc hết pin mà sạc cả đêm cũng không đầy, chất lượng sản phẩm rất kém",0,1,,,
id234,Hài lòng,2,1,,,
id235,Sạc cho máy Oppo 2 tiếng mới được có 3%,0,1,,,
id236,Giá tốt,2,4,,,
id237,Không hài lòng về chất lượng,0,1,,,
id238,Chất liệu sản phẩm là vải xô chứ không phải cotton lót nỉ như trong giới thiệu,0,1,,,
id239,Phục vụ tận tình giao hàng nhanh đóng gói kỹ,2,3,,,
id240,Giày rất đẹp mềm dễ đi,2,1,,,
id241,Sản phẩm tốt mạnh nhưng còn chờ độ bền được bao lâu,1,1,,,
id242,"Tôi mua 2 chai đều bị cũ, có phải hết hạn sử dụng nên giá rẻ không shop?",0,4,,,
id243,"Hạn sử dụng thì ghi HSD chứ không ghi NSX như đồ ăn, nhưng đáy chai lại ghi 2018.01.04",0,9,,,
id244,Đóng gói sản phẩm ổn vì được dán băng dính chống bung nắp,2,2,,,
id245,Cảm thấy hài lòng khi nhận sản phẩm,2,1,,,
id246,Nhận được hàng nhanh,2,3,,,
id247,Sẽ tiếp tục mua ủng hộ shop dài dài,2,9,,,
id248,Dép rất đẹp đóng gói cẩn thận,2,2,,,
id249,Sẽ ủng hộ shop dài dài,2,9,,,
id250,"Giao hàng nhanh, đóng gói cẩn thận, hàng xài tốt",2,3,,,
id251,"Chất lượng sản phẩm tuyệt vời, shop phục vụ rất tốt, rất đáng tiền, thời gian giao hàng rất nhanh",2,9,,,
id252,Giày êm,2,1,,,
id253,Sản phẩm này siêu nhẹ,2,1,,,
id254,Chị chủ nói chuyện dễ thương,2,9,,,
id255,Mua xong về hối hận loa nghe nhỏ quá,0,1,,,
id256,Muốn đổi trả thì như thế nào vậy?,1,7,,,
id257,camera nhìn như mắt cua,0,1,,,
id258,Dùng rất mát mềm da,2,1,,,
id259,Hiệu quả tức thì,2,1,,,
id260,Mình đặc biệt dùng gel này để chuốt lên lông mi và lông mày để làm dày và dài,2,9,,,
id261,Lần sau hết lại mua của shop tiếp,2,9,,,
id262,Bình dùng rất thích cảm ơn shop,2,9,,,
id263,Lên 4G cho oách,2,9,,,
id264,Chất lượng sản phẩm tuyệt vời nhưng toàn chữ Trung Quốc,1,1,,,
id265,Mua hàng của shop rất uy tín,2,9,,,
id266,Đẹp lắm shop ơi không chê vào đâu được Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,2,2,,,
id267,Hàng tốt ok lắm,2,1,,,
id268,Son mềm thơm sẽ mua thêm hàng ở Shopee sản phẩm chất lượng tốt,2,1,,,
id269,Sản phẩm rất đẹp và có chất lượng tốt,2,1,,,
id270,Thằng nhóc ngồi gỡ một lúc không còn phím nào,0,9,,,
id271,Dùng rất thích,2,1,,,
id272,Thật nản thiệt chứ,0,9,,,
id273,Bàn phím dán keo tệ quá tệ,0,1,,,
id274,"Mua về cho chồng, chồng sướng quá hihi",2,9,,,
id275,Kẹo chua hơn không giống loại mua ở siêu thị Thái Lan,0,1,,,
id276,"Giao hàng thần tốc giá rẻ, hài lòng!",2,3,,,
id277,Shop giao thiếu đồ mà nhắn tin shop không trả lời là sao,0,5,,,
id278,Sản phẩm ổn,1,1,,,
id279,Ổn so với mức giá,1,4,,,
