id,comment,label,task
7,"Chất lượng sản phẩm tốt, date dài",2,1
8,Ăn nói và thái độ phục vụ tốt,2,5
9,Đóng gói sản phẩm chắc chắn,2,2
10,"Tất cả sản phẩm sờn hết cả, chưa dùng mà đã vậy rồi",0,1
11,Shop phục vụ rất tốt,2,5
32,"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng",0,1
33,Hàng hoá lừa đảo,0,9
34,Thời gian giao hàng nhanh,2,3
35,Ảnh in đẹp,2,1
36,Giá lại rẻ,2,4
17,Chất lượng sản phẩm chưa thật sự đẹp nhé shop!,0,1
18,Rất đáng tiền,2,9
19,Thời gian giao hàng rất nhanh,2,3
20,"Quần rất đẹp, mặc vừa vặn",2,1
21,"Cảm giác mua hàng bị hớ, thật tệ!",0,4
2,Tuyệt vời!,2,9
3,Hôm nay áo không giống trong hình,0,1
4,"Mùi thơm, bôi lên da mềm mại",2,1
5,"Vải đẹp, dày dặn",2,1
6,"Hàng rất đẹp, rất chi là ưng ý",2,1
37,Quần áo siêu đẹp,2,1
38,"Giao hàng thiếu, nhắn tin cho shop đã xem mà không có phản hồi gì",0,3
39,Cảm ơn shop!,2,9
40,Tuyệt vời hơn khi mua trên Shopee thì được miễn phí vận chuyển,2,8
41,Tiếc là không đặt thêm mấy chiếc,1,6
12,Mặc thì cũng được,1,9
13,Chất vải khỏi chê,2,1
14,Thời gian giao hàng rất nhanh,2,3
15,Chất lượng sản phẩm tuyệt vời,2,1
16,Vải hơi thô cứng,0,1
27,"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng",2,1
28,Chất vải đã ok mà hình thì siêu cute luôn í. Shop rất nhiệt tình,2,1
29,Giao hàng nhanh,2,3
30,"Thấy khá ổn, cảm ơn shop",2,9
31,"Chất lượng sản phẩm tuyệt vời, sẽ ủng hộ shop nhiều",2,1
42,Chất lượng sản phẩm tuyệt vời,2,1
43,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
44,Shop phục vụ rất tốt,2,5
45,Thời gian giao hàng rất nhanh,2,3
46,Đồng hồ mua về không sử dụng được,0,9
22,Với giá này thì sản phẩm tạm ổn chưa được gọi là đẹp lắm,1,4
23,Rất đáng tiền,2,4
24,Thời gian giao hàng rất nhanh,2,3
25,Chất lượng sản phẩm tuyệt vời,2,1
26,Giá cả chấp nhận được,2,4
47,Chất lượng sản phẩm tuyệt vời,2,1
48,"Mua lần thứ hai rồi, rất hài lòng",2,9
49,"Ngực em cũng bình thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực",2,1
50,Quần đợt thứ hai đặt tận 7 chiếc nhưng chất lượng quần hoàn toàn khác biệt so với đợt đầu tiên,0,1
51,Giá 99k cũng đáng để mua,2,4
52,"Quần đẹp, vừa form",2,1
53,Giao hàng nhanh,2,3
54,"Chất vải xấu, xù",0,1
55,"Sản phẩm tạm được, hơi rộng so với mình",1,1
56,"Đẹp, chất mềm mại mặc rất thích",2,1
57,"Giày nhem nhuốc, ố bẩn + Hộp nát",0,1
58,"Rất đáng tiền, tuy nhiên vải không được co giãn lắm, nếu là bạn gái từ 55kg trở lên thì khó mặc",1,1
59,Đủ số lượng,2,1
60,Áo y hình chất lượng sản phẩm tuyệt vời,2,1
61,Rất ưng ý và chất lượng,2,1
